Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
小光,,14541,https://asia.pokemon-card.com/hk/card-img/hk00014541.png,支援者卡,,,,,,,,從自己的牌庫選擇「【基礎】寶可夢」卡「【1階進化】寶可夢」卡「【2階進化】寶可夢」卡各一張，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,77,normal,I,擴充包「烈獄狂火X」,M2,Yuu Nishida,,,,B+,14.00,Base:8.0|Meta:0.0|Exp:-1.0|Func:7.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 進化支援",無
小剛的發掘,,13090,https://asia.pokemon-card.com/hk/card-img/hk00013090.png,支援者卡,,,,,,,,從自己的牌庫選擇最多2張【基礎】寶可夢卡，或者1張進化寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,96,normal,I,擴充包「對戰搭檔」,SV9,Teeziro,,,,A,18.00,Base:8.0|Meta:0.0|Exp:3.0|Func:7.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 進化支援",無
不公印章,,14369,https://asia.pokemon-card.com/hk/card-img/hk00014369.png,物品卡,,,,,,,,這張卡必須在上個對手的回合自己的寶可夢【昏厥】了才可使用。<br/><br/> <br/><br/>雙方玩家各自將手牌全部放回牌庫並重洗。然後，從牌庫抽卡，自己抽出5張，對手抽出2張。,,,,,,,,,,11,normal,I,挑戰牌組 「超級蒂安希ex」,MBD,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:0.0|Exp:-1.0|Func:8.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"牌庫重洗, 連續技",大量抽卡
中立中心,,11514,https://asia.pokemon-card.com/hk/card-img/hk00011514.png,競技場卡,,,,,,,,雙方的所有寶可夢（「擁有規則的寶可夢」除外），不會受到對手的「寶可夢【ex】・【V】」招式的傷害。<br/><br/><br/><br/>這張卡只要在棄牌區，無法加入手牌，無法放回牌庫。,,,,,,,,,,63,normal,H,強化擴充包「黑夜漫遊者」,SV6a,imoniii,,,,B,12.00,Base:6.0|Meta:0.0|Exp:3.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害防禦, 抽卡效果, 效果免疫, 棄牌區傷害加成",無
丹瑜,,11381,https://asia.pokemon-card.com/hk/card-img/hk00011381.png,支援者卡,,,,,,,,這張卡可在先攻玩家的最初回合使用。<br/> <br/>將自己的手牌全部丟棄，從牌庫抽出5張卡。,,,,,,,,,,97,normal,H,擴充包「變幻假面」,SV6,kantaro,,,,B+,16.00,Base:8.0|Meta:0.0|Exp:3.0|Func:3.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,搜索效果,大量抽卡
反擊增幅器,,14202,https://asia.pokemon-card.com/hk/card-img/hk00014202.png,寶可夢道具,,,,,,,,若自己剩餘獎賞卡的張數比對手剩餘獎賞卡的張數多，則附有這張卡的寶可夢使用招式所需的能量，減少1個【無】能量。,,,,,,,,,,17,promo,H,特典卡 超級進化,M,Toyste Beach,,,,B,12.00,Base:6.0|Meta:1.0|Exp:-1.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"獎賞控制, 能量需求增加",無
化朗鎮,,13093,https://asia.pokemon-card.com/hk/card-img/hk00013093.png,競技場卡,,,,,,,,雙方的「赫普的寶可夢」使用的招式，對對手的戰鬥寶可夢造成的傷害「+30」點。,,,,,,,,,,99,normal,I,擴充包「對戰搭檔」,SV9,AYUMI ODASHIMA,,,,B,11.00,Base:6.0|Meta:0.0|Exp:3.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"HP提升, 傷害效果",無
反擊捕捉器,,4647,https://asia.pokemon-card.com/hk/card-img/hk00004647.png,物品卡,,,,,,,,這張卡只有在自己剩餘獎賞卡的張數比對手剩餘獎賞卡的張數多時才可使用。選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。,,,,在自己的回合時，物品卡可不限張數使用。,,,,,,130,normal,G,擴充包「眾星雲集組合篇」SET A,AC1a,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 獎賞控制",無
天星隊手下,,8367,https://asia.pokemon-card.com/hk/card-img/hk00008367.png,支援者卡,,,,,,,,選擇1個對手的戰鬥寶可夢身上附加的能量，放回對手的牌庫上方。,,,,在自己的回合時，支援者卡只可使用1張。,,,,,,75,normal,G,擴充包「朱ex」,SV1S,nagimiso,,,,B+,15.00,Base:8.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量操作",無
太晶珠,,12566,https://asia.pokemon-card.com/hk/card-img/hk00012566.png,物品卡,,,,,,,,從自己的牌庫選擇1張「太晶」寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,145,normal,H,高級擴充包「太晶慶典ex」,SV8a,Ayaka Yoshida,,,太晶,B+,14.00,Base:7.0|Meta:0.0|Exp:3.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
引力山岳,,12182,https://asia.pokemon-card.com/hk/card-img/hk00012182.png,競技場卡,,,,,,,,雙方場上所有【2階進化】寶可夢的最大HP各「-30」。,,,,,,,,,,106,normal,H,擴充包「超電突圍」,SV8,AYUMI ODASHIMA,,,,B+,15.00,Base:6.0|Meta:0.0|Exp:3.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"HP提升, 進化支援",無
手部修剪器,,10929,https://asia.pokemon-card.com/hk/card-img/hk00010929.png,物品卡,,,,,,,,雙方玩家各將自己的手牌丟棄直到變為5張為止。（對手先丟棄。手牌為5張以下的玩家不丟棄。）,,,,,,,,,,61,normal,H,擴充包「異度審判」,SV5M,Ayaka Yoshida,,,,B,11.00,Base:7.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,丟棄效果
基本惡能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,DAR,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本鬥能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,FIG,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本火能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,FIR,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本草能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,GRA,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本雷能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,LIG,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本鋼能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,MET,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本超能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,PSY,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
基本水能量,,,https://asia.pokemon-card.com/hk/card-img/,基本能量卡,,,,,,,,,,,,,,,,,,WAT,n/a,G,G超起始牌組「傳說交鋒」,AS6D,n/a,,,,D,5.00,Base:5.0|Meta:0.0|Exp:0.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
妙蛙種子,基礎,14345,https://asia.pokemon-card.com/hk/card-img/hk00014345.png,寶可夢,80,Grass,,,束縛,Grass,10,在下個對手的回合，受到這個招式的寶可夢無法撤退。,,,,,,Fire,,,2,1,promo,I,特典卡 超級進化,M,HYOGONOSUKE,在出生後的一段時間內，<br/> 牠會吸收背上種子裡<br/> 儲存著的營養成長。,妙蛙種子 → 妙蛙草 → 妙蛙花 → 超級妙蛙花ex → 妙蛙花ex,,D,6.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,撤退封鎖,撤退效果
妙蛙種子,基礎,8867,https://asia.pokemon-card.com/hk/card-img/hk00008867.png,寶可夢,70,Grass,,,寄生種子,"Grass,Colorless",20,將這隻寶可夢恢復「20」HP。,,,,,,Fire,,,2,1,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Yuu Nishida,在出生後的一段時間內，牠會吸收背上種子裡<br/>儲存著的營養成長。,妙蛙種子 → 妙蛙草 → 妙蛙花 → 妙蛙花ex,,C+,9.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,回復效果,無
妙蛙草,1階進化,14346,https://asia.pokemon-card.com/hk/card-img/hk00014346.png,寶可夢,110,Grass,,,飛葉快刀,"Grass,Grass",60,,,,,,,Fire,,,3,2,promo,I,特典卡 超級進化,M,Takumi Wada,沐浴在陽光下越久，<br/> 身體內會湧出越多力量，<br/> 背上的花苞也會漸漸成長。,妙蛙種子 → 妙蛙草 → 妙蛙花 → 超級妙蛙花ex → 妙蛙花ex,,D,6.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,無,無
妙蛙草,1階進化,8868,https://asia.pokemon-card.com/hk/card-img/hk00008868.png,寶可夢,100,Grass,,,寄生種子,"Grass,Colorless",30,將這隻寶可夢恢復「20」HP。,藤鞭,"Grass,Grass,Colorless",80,,,Fire,,,3,2,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Yuu Nishida,沐浴在陽光下越久，身體內會湧出越多力量，<br/>背上的花苞也會漸漸成長。,妙蛙種子 → 妙蛙草 → 妙蛙花 → 妙蛙花ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,回復效果,無
時拉比,基礎,14347,https://asia.pokemon-card.com/hk/card-img/hk00014347.png,寶可夢,80,Grass,,,時間輪轉,Grass,,從自己的牌庫選擇【草】寶可夢卡與競技場卡合計最多3張，在給對手看過後加入手牌。並且重洗牌庫。,日光刀,Grass,30,,,Fire,,,1,3,promo,I,特典卡 超級進化,M,Naoki Saito,從未來穿越時光而來。<br/> 能夠治癒傷痛，<br/> 也會把自己的力量分給草木。,時拉比,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",競技場效果
時拉比,基礎,12183,https://asia.pokemon-card.com/hk/card-img/hk00012183.png,寶可夢,80,Grass,,,呼喚,Colorless,,從自己的牌庫抽出1張卡。,綠葉舞步,Grass,30,,,Fire,,,1,1,normal,H,Trianers Camp,SVI,satoma,擁有能夠穿越時光的力量。<br/>在許多時代都留下了<br/>將牠視為森林之神的紀錄。,時拉比,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
凱西,基礎,14348,https://asia.pokemon-card.com/hk/card-img/hk00014348.png,寶可夢,50,Psychic,,,瞬間移動攻擊,Psychic,10,將這隻寶可夢與備戰寶可夢互換。,,,,,,Darkness,,Fighting,1,4,promo,I,特典卡 超級進化,M,Orca,就算在睡夢中也能使用瞬間移動。<br/> 據說當牠睡得越熟，<br/> 瞬間移動的距離就會越遠。,凱西 → 勇基拉 → 胡地 → 胡地ex,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
凱西,基礎,8929,https://asia.pokemon-card.com/hk/card-img/hk00008929.png,寶可夢,50,Psychic,,,精神射擊,Psychic,20,,,,,,,Darkness,,Fighting,1,63,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Mitsuhiro Arita,就算在睡夢中也能使用瞬間移動。據說當牠睡得越熟，<br/>瞬間移動的距離就會越遠。,凱西 → 勇基拉 → 胡地 → 胡地ex,,C,7.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
拉魯拉絲,基礎,14349,https://asia.pokemon-card.com/hk/card-img/hk00014349.png,寶可夢,70,Psychic,,,呼喚,Colorless,,從自己的牌庫抽出1張卡。,頭錘,Psychic,10,,,Darkness,,Fighting,1,5,promo,I,特典卡 超級進化,M,Terada Tera,擁有使用頭上的紅角<br/> 就可以敏銳察覺<br/> 人類感情的能力。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
拉魯拉絲,基礎,8318,https://asia.pokemon-card.com/hk/card-img/hk00008318.png,寶可夢,70,Psychic,,,精神射擊,"Psychic,Colorless",30,,,,,,,Darkness,,Fighting,1,26,normal,G,擴充包「朱ex」,SV1S,Tika Matsuno,擁有使用頭上的紅角就可以敏銳察覺<br/>人類感情的能力。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
奇魯莉安,1階進化,14350,https://asia.pokemon-card.com/hk/card-img/hk00014350.png,寶可夢,100,Psychic,,,呼喚信號,Psychic,,從自己的牌庫選擇最多3張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。,精神射擊,Psychic,30,,,Darkness,,Fighting,1,6,promo,I,特典卡 超級進化,M,satoma,能夠操縱精神力量<br/> 來扭曲周圍的空間，<br/> 讓自己看見未來。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
奇魯莉安,1階進化,8319,https://asia.pokemon-card.com/hk/card-img/hk00008319.png,寶可夢,90,Psychic,,,魔法射擊,"Psychic,Colorless",30,,精神強念,"Psychic,Psychic,Colorless",60+,增加對手的戰鬥寶可夢身上附加的能量的數量×20點傷害。,,Darkness,,Fighting,1,27,normal,G,擴充包「朱ex」,SV1S,kawayoo,能夠操縱精神力量來扭曲周圍的空間，<br/>讓自己看見未來。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX,,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"備戰傷害加成, 能量操作",無
幕下力士,基礎,14351,https://asia.pokemon-card.com/hk/card-img/hk00014351.png,寶可夢,80,Fighting,,,推擊,Fighting,10,,正面對決,"Fighting,Fighting",30,,,Psychic,,,2,7,promo,I,特典卡 超級進化,M,Jerky,會在不斷的嚴格訓練中逐漸變強。<br/> 能夠承受任何攻擊，<br/> 是很有毅力的寶可夢。,幕下力士 → 鐵掌力士,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
利歐路,基礎,14352,https://asia.pokemon-card.com/hk/card-img/hk00014352.png,寶可夢,80,Fighting,,,加速突刺,Fighting,30,在下個自己的回合，這隻寶可夢無法使用「加速突刺」。,,,,,,Psychic,,,2,8,promo,I,特典卡 超級進化,M,hncl,夥伴們之間會透過發出<br/> 波導來與彼此溝通。<br/> 跑步可以跑上一整晚。,利歐路 → 路卡利歐 → 路卡利歐GX → 超級路卡利歐ex → 路卡利歐ex,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,招式鎖定,無
利歐路,基礎,8332,https://asia.pokemon-card.com/hk/card-img/hk00008332.png,寶可夢,70,Fighting,,,出拳,Fighting,10,,突擊,"Fighting,Colorless",50,這隻寶可夢也受到20點傷害。,,Psychic,,,1,40,normal,G,擴充包「朱ex」,SV1S,chibi,夥伴們之間會透過發出波導來與彼此溝通。<br/>跑步可以跑上一整晚。,利歐路 → 路卡利歐 → 路卡利歐GX → 路卡利歐ex,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,反噬傷害,無
利歐路,基礎,12672,https://asia.pokemon-card.com/hk/card-img/hk00012672.png,寶可夢,70,Fighting,,,電光一閃,Fighting,10+,擲1次硬幣若為正面，則增加20點傷害。,,,,,,Psychic,,,1,64,normal,H,雙ex初階牌組 Generations,SVM,Tika Matsuno,擁有能夠透過波形<br/>來分辨出喜悅及憤怒<br/>等情感的神奇力量。,利歐路 → 路卡利歐 → 路卡利歐GX → 路卡利歐ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"條件傷害, 硬幣判定",無
瑪夏多,基礎,14353,https://asia.pokemon-card.com/hk/card-img/hk00014353.png,寶可夢,90,Fighting,,,暗影側踢,"Fighting,Fighting",60,若對手的寶可夢因這個招式的傷害而【昏厥】了，則在下個對手的回合，這隻寶可夢不會受到招式的傷害與效果的影響。,,,,,,Psychic,,,1,9,promo,I,特典卡 超級進化,M,Tomomi Ozaki,擁有潛入一切影子裡的能力，<br/> 所以在很長一段時間裡<br/> 都沒有任何人發現牠。,瑪夏多,,C+,10.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"傷害防禦, 效果免疫, 昏厥條件",無
月光丘陵,,9802,https://asia.pokemon-card.com/hk/card-img/hk00009802.png,競技場卡,,,,,,,,雙方玩家在每個自己的回合時，可使用1次，若從自己的手牌將1張「基本【超】能量」卡丟棄，則可將自己的所有寶可夢各恢復「30」HP。,,,,,,,,,,49,promo,G,特典卡 朱&紫,SV,AYUMI ODASHIMA,,,,B+,14.00,Base:6.0|Meta:0.0|Exp:2.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,回復效果,無
水蓮的照顧,,11181,https://asia.pokemon-card.com/hk/card-img/hk00011181.png,支援者卡,,,,,,,,從自己的棄牌區選擇寶可夢卡（「擁有規則的寶可夢」除外）與基本能量卡合計最多3張，在給對手看過後加入手牌。,,,,,,,,,,64,normal,H,強化擴充包「緋紅薄霧」,SV5a,Atsushi Furusawa,,,,B+,15.00,Base:8.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,搜索效果,無
菊草葉,基礎,14197,https://asia.pokemon-card.com/hk/card-img/hk00014197.png,寶可夢,70,Grass,,,飛葉快刀,Grass,20,,,,,,,Fire,,,1,12,promo,I,特典卡 超級進化,M,Makura Tami,最喜歡沐浴在陽光下。<br/> 會用頭上的葉子<br/> 尋找溫暖的地方。,菊草葉 → 月桂葉 → 大竺葵,,D,4.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
拉普拉斯ex,基礎,14198,https://asia.pokemon-card.com/hk/card-img/hk00014198.png,寶可夢,210,Water,,,水炮迴旋,Water,30×,造成這隻寶可夢身上附加的【水】能量的數量×30點傷害。將這隻寶可夢與備戰寶可夢互換。,衝浪,"Water,Water,Water",140,,,Lightning,,,2,13,promo,I,特典卡 超級進化,M,5ban Graphics,,拉普拉斯ex,ex,A,18.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:8.0|Mod:1.00,"備戰傷害加成, 傷害效果, 切換效果, 能量操作",無
