Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
能量再利用,,00004645,https://asia.pokemon-card.com/hk/card-img/hk00004645.png,物品卡,,,,,,,,從自己的棄牌區抽出5張基本能量卡，在給對手看過後，放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,128,normal,I,擴充包「眾星雲集組合篇」SET A,AC1a,Toyste Beach,,,,B+,15.00,Base:7.0|Meta:1.0|Exp:-1.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量回收",大量抽卡
傷藥,,00004965,https://asia.pokemon-card.com/hk/card-img/hk00004965.png,物品卡,,,,,,,,將自己的1隻寶可夢恢復「30」HP。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,134,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Toyste Beach,,,,C+,9.00,Base:7.0|Meta:1.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,回復效果,無
粉碎之錘,,00004966,https://asia.pokemon-card.com/hk/card-img/hk00004966.png,物品卡,,,,,,,,擲1次硬幣若為正面，則將對手的場上寶可夢身上所附加的1個能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,135,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Yoshinobu Saito,,,,A+,21.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:8.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,"硬幣判定, 能量操作",無
超級球,,00004967,https://asia.pokemon-card.com/hk/card-img/hk00004967.png,物品卡,,,,,,,,查看自己的牌庫上方7張。將其中的1張寶可夢，在給對手看過後加入手牌。將剩餘卡放回牌庫並重洗。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,136,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Ryo Ueda,,,,A,19.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"情報收集, 抽卡效果",無
巢穴球,,00004969,https://asia.pokemon-card.com/hk/card-img/hk00004969.png,物品卡,,,,,,,,從自己的牌庫抽出1張【基礎】寶可夢，放置於備戰區。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,138,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Toyste Beach,,,,A,19.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",放置效果
高級球,,00004970,https://asia.pokemon-card.com/hk/card-img/hk00004970.png,物品卡,,,,,,,,這張卡只有在將自己的2張手牌丟到棄牌區才可使用。從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,139,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Ryo Ueda,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
神奇糖果,,00004971,https://asia.pokemon-card.com/hk/card-img/hk00004971.png,物品卡,,,,,,,,從自己的手牌抽出1張【2階進化】寶可夢，放置於自己的場上1隻可進化成該寶可夢的【基礎】寶可夢身上並完成進化。（無法對最初自己的回合與這個回合剛使出的【基礎】寶可夢使用。）,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,140,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Toyste Beach,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,放置效果
寶可夢交替,,00004972,https://asia.pokemon-card.com/hk/card-img/hk00004972.png,物品卡,,,,,,,,將自己的戰鬥寶可夢與備戰寶可夢互換。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,141,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Ryo Ueda,,,,A,17.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:3.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
寶可夢捕捉器,,00004973,https://asia.pokemon-card.com/hk/card-img/hk00004973.png,物品卡,,,,,,,,擲1次硬幣若為正面，則選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,142,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 硬幣判定",無
精靈球,,00004975,https://asia.pokemon-card.com/hk/card-img/hk00004975.png,物品卡,,,,,,,,擲1次硬幣若為正面，則從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,144,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Ryo Ueda,,,,A,19.00,Base:7.0|Meta:1.0|Exp:-1.0|Func:7.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 硬幣判定",無
反擊增幅器,,00005163,https://asia.pokemon-card.com/hk/card-img/hk00005163.png,寶可夢道具,,,,,[寶可夢道具規則],,,寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。,,,,若自己剩餘獎賞卡的張數比對手剩餘獎賞卡的張數多，則將附有這張卡的寶可夢使用招式所需的能量，減少1個【無】能量。,,,,,,170,normal,H,擴充包「美夢成真組合篇」SET A,AC2a,Toyste Beach,,,,B,13.00,Base:6.0|Meta:1.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"其他效果, 獎賞控制, 能量需求增加",無
裁判,,00005735,https://asia.pokemon-card.com/hk/card-img/hk00005735.png,支援者卡,,,,,,,,雙方玩家各將手牌全部放回牌庫並重洗。然後，各從牌庫抽出4張。,[支援者規則],,,在自己的回合時，支援者卡只可使用1張。,,,,,,180,normal,G,擴充包「美夢成真組合篇」SET B,AC2b,Sanosuke Sakuma,,,,B+,16.00,Base:8.0|Meta:3.0|Exp:-1.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 牌庫重洗",大量抽卡
能量轉移,,00005894,https://asia.pokemon-card.com/hk/card-img/hk00005894.png,物品卡,,,,,,,,將自己的場上寶可夢身上所附加的1個基本能量，改附於自己的另1隻寶可夢身上。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,139,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Ryo Ueda,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
粉碎之錘,,00005897,https://asia.pokemon-card.com/hk/card-img/hk00005897.png,物品卡,,,,,,,,擲1次硬幣若為正面，則將對手的場上寶可夢身上所附加的1個能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,142,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Yoshinobu Saito,,,,A+,21.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:8.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,"硬幣判定, 能量操作",無
朋友手冊,,00005900,https://asia.pokemon-card.com/hk/card-img/hk00005900.png,物品卡,,,,,,,,從自己的棄牌區抽出2張支援者卡，在給對手看過後放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,145,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Toyste Beach,,,,B+,15.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 牌庫操作",無
巢穴球,,00005901,https://asia.pokemon-card.com/hk/card-img/hk00005901.png,物品卡,,,,,,,,從自己的牌庫抽出1張【基礎】寶可夢，放置於備戰區。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,146,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Toyste Beach,,,,A,19.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",放置效果
高級球,,00005902,https://asia.pokemon-card.com/hk/card-img/hk00005902.png,物品卡,,,,,,,,這張卡只有在將自己的2張手牌丟到棄牌區才可使用。從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,147,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Ryo Ueda,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
神奇糖果,,00005904,https://asia.pokemon-card.com/hk/card-img/hk00005904.png,物品卡,,,,,,,,從自己的手牌抽出1張【2階進化】寶可夢，放置於自己的場上1隻可進化成該寶可夢的【基礎】寶可夢身上並完成進化。（無法對自己的最初回合與這個回合剛使出的【基礎】寶可夢使用。）,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,149,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Toyste Beach,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,放置效果
寶可夢交替,,00005907,https://asia.pokemon-card.com/hk/card-img/hk00005907.png,物品卡,,,,,,,,將自己的戰鬥寶可夢與備戰寶可夢互換。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,152,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Ryo Ueda,,,,A,17.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:3.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
寶可夢捕捉器,,00005908,https://asia.pokemon-card.com/hk/card-img/hk00005908.png,物品卡,,,,,,,,擲1次硬幣若為正面，則選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,153,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 硬幣判定",無
裁判,,00005917,https://asia.pokemon-card.com/hk/card-img/hk00005917.png,支援者卡,,,,,,,,雙方玩家各將手牌全部放回牌庫並重洗。然後，各從牌庫抽出4張。,[支援者規則],,,在自己的回合時，支援者卡只可使用1張。,,,,,,162,normal,G,G超起始牌組「美夢成真組合篇」,AC2D,Sanosuke Sakuma,,,,B+,16.00,Base:8.0|Meta:3.0|Exp:-1.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 牌庫重洗",大量抽卡
寶可齒輪3.0,,00003276,https://asia.pokemon-card.com/hk/card-img/hk00003276.png,物品卡,,,,,,,,從自己的牌庫上方抽出7張並查看。可將其中的1張支援者卡，在給對手看過後加入手牌。將剩餘卡放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,153,normal,G,擴充包「雙倍爆擊」SET A,AS5a,Studio Bora Inc.,,,,A+,20.00,Base:7.0|Meta:5.0|Exp:0.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 牌庫操作",無
改造之錘,,00003300,https://asia.pokemon-card.com/hk/card-img/hk00003300.png,物品卡,,,,,,,,將對手的場上寶可夢身上所附加的1個特殊能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,177,normal,H,擴充包「雙倍爆擊」SET A,AS5a,Yoshinobu Saito,,,,A+,20.00,Base:7.0|Meta:3.0|Exp:0.0|Func:8.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
巢穴球,,00003301,https://asia.pokemon-card.com/hk/card-img/hk00003301.png,物品卡,,,,,,,,從自己的牌庫抽出1張【基礎】寶可夢，放置於備戰區。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,178,normal,G,擴充包「雙倍爆擊」SET A,AS5a,Ryo Ueda,,,,A+,20.00,Base:7.0|Meta:5.0|Exp:0.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",放置效果
寶可夢中心的姐姐,,00003476,https://asia.pokemon-card.com/hk/card-img/hk00003476.png,支援者卡,,,,,,,,將自己的1隻寶可夢恢復「60」HP，特殊狀態也全部恢復。,[支援者規則],,,在自己的回合時，支援者卡只可使用1張。,,,,,,169,normal,I,擴充包「雙倍爆擊」SET B,As5b,TOKIYA,,,,B,13.00,Base:8.0|Meta:1.0|Exp:0.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"回復效果, 狀態恢復",無
高級球,,00003485,https://asia.pokemon-card.com/hk/card-img/hk00003485.png,物品卡,,,,,,,,這張卡只有在將自己的2張手牌丟到棄牌區才可使用。從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,178,normal,G,擴充包「雙倍爆擊」SET B,As5b,Ryo Ueda,,,,S+,27.00,Base:7.0|Meta:5.0|Exp:0.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
能量回收,,00003970,https://asia.pokemon-card.com/hk/card-img/hk00003970.png,物品卡,,,,,,,,從自己的棄牌區抽出2張基本能量卡，在給對手看過後加入手牌。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,139,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Toyste Beach,,,,S,23.00,Base:7.0|Meta:5.0|Exp:0.0|Func:8.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量回收",無
能量轉移,,00003971,https://asia.pokemon-card.com/hk/card-img/hk00003971.png,物品卡,,,,,,,,將自己的場上寶可夢身上所附加的1個基本能量，改附於自己的另1隻寶可夢身上。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,140,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Ryo Ueda,,,,A,17.00,Base:7.0|Meta:3.0|Exp:0.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
傷藥,,00003972,https://asia.pokemon-card.com/hk/card-img/hk00003972.png,物品卡,,,,,,,,將自己的1隻寶可夢恢復「30」HP。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,141,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Toyste Beach,,,,C+,10.00,Base:7.0|Meta:1.0|Exp:0.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,回復效果,無
粉碎之錘,,00003973,https://asia.pokemon-card.com/hk/card-img/hk00003973.png,物品卡,,,,,,,,擲1次硬幣若為正面，則將對手的場上寶可夢身上所附加的1個能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,142,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Yoshinobu Saito,,,,A+,22.00,Base:7.0|Meta:3.0|Exp:0.0|Func:8.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,"硬幣判定, 能量操作",無
超級球,,00003974,https://asia.pokemon-card.com/hk/card-img/hk00003974.png,物品卡,,,,,,,,查看自己的牌庫上方7張。將其中的1張寶可夢，在給對手看過後加入手牌。將剩餘卡放回牌庫並重洗。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,143,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Ryo Ueda,,,,A+,20.00,Base:7.0|Meta:5.0|Exp:0.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"情報收集, 抽卡效果",無
高級球,,00003976,https://asia.pokemon-card.com/hk/card-img/hk00003976.png,物品卡,,,,,,,,這張卡只有在將自己的2張手牌丟到棄牌區才可使用。從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,145,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Ryo Ueda,,,,S+,27.00,Base:7.0|Meta:5.0|Exp:0.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
神奇糖果,,00003978,https://asia.pokemon-card.com/hk/card-img/hk00003978.png,物品卡,,,,,,,,從自己的手牌抽出1張【2階進化】寶可夢，放置於自己的場上1隻可進化成該寶可夢的【基礎】寶可夢身上並完成進化。（無法對最初自己的回合與這個回合剛使出的【基礎】寶可夢使用。）,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,148,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Ryo Ueda,,,,S+,27.00,Base:7.0|Meta:5.0|Exp:0.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,放置效果
寶可齒輪3.0,,00003959,https://asia.pokemon-card.com/hk/card-img/hk00003959.png,物品卡,,,,,,,,從自己的牌庫上方抽出7張並查看。可將其中的1張支援者卡，在給對手看過後加入手牌。將剩餘卡放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,149,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Studio Bora Inc.,,,,A+,20.00,Base:7.0|Meta:5.0|Exp:0.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 牌庫操作",無
寶可夢交替,,00003979,https://asia.pokemon-card.com/hk/card-img/hk00003979.png,物品卡,,,,,,,,將自己的戰鬥寶可夢與備戰寶可夢互換。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,150,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Ryo Ueda,,,,A,18.00,Base:7.0|Meta:5.0|Exp:0.0|Func:3.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
寶可夢捕捉器,,00003980,https://asia.pokemon-card.com/hk/card-img/hk00003980.png,物品卡,,,,,,,,擲1次硬幣若為正面，則選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,151,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Toyste Beach,,,,A,17.00,Base:7.0|Meta:3.0|Exp:0.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 硬幣判定",無
觀光客,,00003984,https://asia.pokemon-card.com/hk/card-img/hk00003984.png,支援者卡,,,,,,,,從牌庫抽卡直到自己的手牌滿5張為止。若希望，可在從牌庫抽卡前，將自己的任意數量的手牌丟到棄牌區。,[支援者規則],,,在自己的回合時，支援者卡只可使用1張。,,,,,,162,normal,G,G超起始牌組「雙倍爆擊」,AS5D,Naoki Saito,,,,A,17.00,Base:8.0|Meta:1.0|Exp:0.0|Func:6.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,抽卡效果,無
朋友手冊,,00003813,https://asia.pokemon-card.com/hk/card-img/hk00003813.png,物品卡,,,,,,,,從自己的棄牌區抽出2張支援者卡，在給對手看過後放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,188,normal,G,擴充包「傳說交鋒」SET B,AS6b,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:0.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 牌庫操作",無
寶可齒輪3.0,,00003815,https://asia.pokemon-card.com/hk/card-img/hk00003815.png,物品卡,,,,,,,,從自己的牌庫上方抽出7張並查看。可將其中的1張支援者卡，在給對手看過後加入手牌。將剩餘卡放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,190,normal,G,擴充包「傳說交鋒」SET B,AS6b,Studio Bora Inc.,,,,A+,20.00,Base:7.0|Meta:5.0|Exp:0.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 牌庫操作",無
